order_id,classe_real,classe_predita,probabilidade_predita,prob_0,prob_2
9b47622a-a86d-4a3d-9b8d-6302354e69d8,2,2,1.0,0.0,1.0
4619e6e1-3740-4ff3-9a50-c06f998aacb7,0,0,0.95,0.95,0.05
f86379fd-ab5d-4054-b264-f9f6923776d4,2,2,1.0,0.0,1.0
cc68d5d1-581a-4c43-9ad7-cf5a41849ff8,2,2,0.99,0.01,0.99
29b441ec-5d96-4c10-918f-046101f95560,2,2,0.91,0.09,0.91
f033a6ec-bba6-4c61-abfe-8c2eae7e50c7,2,2,1.0,0.0,1.0
149cfc55-361d-4c90-b08f-104473ef12c2,0,0,0.9,0.9,0.1
7b3dcfdc-4a10-4668-b417-d781b7570e04,2,2,1.0,0.0,1.0
9bb87578-0567-406e-9af1-ed2dac09c53d,2,2,1.0,0.0,1.0
5746725d-abe5-483e-817e-0288ad79b1e1,2,2,1.0,0.0,1.0
cfaf7901-b34e-4e86-bd44-78b20f2510f0,0,0,0.99,0.99,0.01
494bfadb-5c80-4a91-b126-d17ca459254b,2,2,0.99,0.01,0.99
9ffba224-2089-4560-a0e5-f878b4af9843,0,0,0.98,0.98,0.02
5a25d8ea-781a-4c95-b5e5-fe9c35f3165a,2,2,1.0,0.0,1.0
ee557aca-836e-4be4-a75e-dde1d0e2ea1a,2,2,1.0,0.0,1.0
2ca50cf6-3ee7-4c44-b244-a0fd1289263f,2,2,1.0,0.0,1.0
26e1282b-f1d0-43dc-96eb-a086e2bac04d,2,2,1.0,0.0,1.0
c0ba3fac-7bbf-4676-9d54-e5b5c20fb435,2,2,0.99,0.01,0.99
9ae78cd1-b6bb-46f7-bc54-ed51c1a0ac5b,2,2,1.0,0.0,1.0
b61279d3-9cdc-4555-b033-cee93c4baa28,2,2,0.99,0.01,0.99
80ac5543-9d7e-4b90-b442-36072cff69d9,2,2,0.99,0.01,0.99
5594f331-d792-4b6a-aefe-68f97ac1119b,2,2,1.0,0.0,1.0
5a324ce2-68dd-4d5e-9577-583ae94f5988,2,2,1.0,0.0,1.0
56be6d6e-f1cf-4a3b-a75b-bd56932dce12,2,2,0.99,0.01,0.99
bee7d47d-6761-4077-8578-be6fc469d540,2,2,1.0,0.0,1.0
ed4ce2b4-b059-42e3-aa29-2e91c9ce22c2,2,2,0.99,0.01,0.99
7d470302-aed3-499f-b079-691dc47d7c76,2,2,1.0,0.0,1.0
bf045180-b1d4-4817-bf17-5599235b7719,2,2,1.0,0.0,1.0
616ec05b-bdeb-4ca2-854b-ed05ebc11fa0,0,0,0.98,0.98,0.02
f2a73182-4837-4eb6-92f1-9428a5d24c48,2,2,0.99,0.01,0.99
98a2d3b4-a5a3-4b70-b379-6fe9efd58b8d,2,2,1.0,0.0,1.0
09fb53b4-f151-4963-9cfb-315cc7bdfd7c,2,2,0.99,0.01,0.99
6fad0e93-f15c-47e0-adb7-d11f89c11e83,2,2,1.0,0.0,1.0
711078a8-4bbb-4cdc-91c3-15cfae6a95d2,2,2,1.0,0.0,1.0
80c66bb6-ed78-4349-a47f-7a13bac3b49f,2,2,1.0,0.0,1.0
cd208c3b-5780-4aef-acd5-2cbb8e2c6609,2,2,1.0,0.0,1.0
11c74fc9-8e34-4e8c-b264-166888ce8242,2,2,0.98,0.02,0.98
13aee9f2-ccb9-40f9-bcd8-977577a1ae77,2,2,1.0,0.0,1.0
44dd6e53-7cf3-46cf-bd72-f011fefcd55a,2,2,0.99,0.01,0.99
9e19d486-3341-44b9-8e7f-6da337961ee1,2,2,1.0,0.0,1.0
2ceae274-e83b-4590-9681-e4d26bdfd4b0,2,2,1.0,0.0,1.0
03570ce6-77a8-422a-b32a-4e3cd5a7296d,2,2,1.0,0.0,1.0
7ef7ab32-1f1b-4039-8813-ffdd6f9626df,2,2,0.99,0.01,0.99
fb88d99a-d5e0-4195-9585-598cad0d1ebf,2,2,1.0,0.0,1.0
95426ca9-7d60-4044-880f-1e33e1420ce3,2,2,1.0,0.0,1.0
4d60722a-8a32-48d2-b574-afa7e89ef61e,2,2,1.0,0.0,1.0
e520678d-d02a-4ad4-b825-4b23bc6896f4,0,0,0.97,0.97,0.03
43af631c-0503-4194-92c2-f5c0b20def66,0,0,0.9,0.9,0.1
f43c1a87-7e4a-4848-80c6-a5c32e061802,2,2,1.0,0.0,1.0
3fa0645c-1dc2-4144-a318-ea0c6ff5660f,2,2,1.0,0.0,1.0
c784cfa8-aa75-4a62-bebe-86fa6d45c3f7,0,0,0.99,0.99,0.01
85835280-f53b-4ba9-92a7-8209430c6abb,0,0,0.97,0.97,0.03
83a82ddc-f796-429c-8ed1-d8b38d69b60f,2,2,1.0,0.0,1.0
e2307665-659d-4091-9a8b-b58c7fa40dde,2,2,0.98,0.02,0.98
da7534d1-84d6-44ae-bd60-611b8a365fc6,2,2,1.0,0.0,1.0
6f6256c1-94d2-44c8-87cf-272fc128f69d,2,2,0.99,0.01,0.99
354c9f08-9369-4846-80d9-d63638e2973a,2,2,1.0,0.0,1.0
f578b3ff-b53b-41a3-9d34-4e1e52dc9c6f,2,2,1.0,0.0,1.0
4943b8d8-b994-4c3f-9714-c29ca0eb3305,2,2,0.99,0.01,0.99
58fc6316-056c-412b-b73d-6f904b9e5774,2,2,0.98,0.02,0.98
763bb5cf-fcbf-4f3a-9fd5-c331fe46260b,2,2,0.98,0.02,0.98
43fc685c-9e0b-4fc6-849c-a8e7831a275a,2,2,0.99,0.01,0.99
12b54168-a996-4169-aa30-0e7d0c1cbbcb,2,2,1.0,0.0,1.0
86118b72-87e2-4a58-9312-7219d2b9b2a7,0,0,0.97,0.97,0.03
101f3d43-ef22-4c2c-b79b-6280061a21ab,2,2,0.99,0.01,0.99
ff031c32-de65-47de-8ac2-48a17b4f377f,2,2,0.98,0.02,0.98
b393eb92-77f3-4476-b69b-6a14a4b2cd71,2,2,0.98,0.02,0.98
dbb020e6-16d8-408a-b2b4-07ea70e965bc,0,0,0.97,0.97,0.03
063142d5-872f-4622-acf9-a4678e91ed9c,2,2,1.0,0.0,1.0
056ed75f-4ef3-4b22-b3c1-cc5d81aaa846,2,2,1.0,0.0,1.0
daef9591-4458-4f78-95c3-7d1553a84619,2,2,0.99,0.01,0.99
b6162b9a-66f6-4e7e-8151-49613e2fc024,2,2,1.0,0.0,1.0
ab617ca0-b0ef-450a-b777-ef1a37a9247c,2,2,0.99,0.01,0.99
4d0a5e13-2a5c-4936-b5a8-4f2360634bb1,2,2,1.0,0.0,1.0
b22ea824-e830-4b64-88d1-7740618f610d,2,2,1.0,0.0,1.0
981feeeb-cb96-4825-bd39-e8cb729b128a,0,0,0.96,0.96,0.04
237c46b5-f269-4f01-b611-e73620aca65b,0,0,0.95,0.95,0.05
cadd53fb-d803-4664-a31d-ac5925acf8fe,2,2,0.99,0.01,0.99
715f40bc-ec8f-4d31-ba2b-8201b4a5628f,2,2,1.0,0.0,1.0
1d12d779-7d66-4a61-89e8-fa48aae2c9c8,2,2,0.97,0.03,0.97
eeb56cf1-ee65-457b-ad5b-950887edd3a8,2,2,0.99,0.01,0.99
11ac3f03-6679-49d1-b574-50dbf9fbc2ec,2,2,0.99,0.01,0.99
afafb6ce-9026-4869-9d8a-03aa36b7d42d,2,2,0.87,0.13,0.87
93af2d6c-380b-4310-b906-0c0325b900e9,2,2,0.99,0.01,0.99
9ae0e53e-2866-4be9-8800-e49c13b1ec8d,2,2,1.0,0.0,1.0
2465161a-eef9-4e3c-b9f0-91b9ec7b96cb,2,2,0.99,0.01,0.99
cc8fc68b-9146-4c77-81d1-589eb52aea27,2,2,1.0,0.0,1.0
94644ed5-27f2-47af-9e18-67411131d7f5,0,0,1.0,1.0,0.0
f3af3c58-f6f1-40b2-995d-1e20c985ed0d,2,2,1.0,0.0,1.0
9070bd23-f6ff-435b-a6cc-bac486204f66,2,2,1.0,0.0,1.0
22a95f81-dbe5-4d1b-a4c5-134f20d06a5c,2,2,1.0,0.0,1.0
8f3ea60f-c840-4377-867a-d629730e671a,2,2,1.0,0.0,1.0
a8cce1ba-bd04-4af3-8bb2-c0f4490efcce,0,0,0.99,0.99,0.01
50b19156-598d-4adc-a39c-2c15b9d968da,2,2,0.99,0.01,0.99
fad93de1-359a-4d11-91af-9d8f7eac5c94,2,2,0.99,0.01,0.99
0f2f7f54-628b-4065-b8d7-0730e2bdcee1,0,2,0.94,0.06,0.94
fb44468d-62b5-44b1-a712-95137248124b,2,2,1.0,0.0,1.0
354c8f03-d979-44c6-a54f-fd8f3d765e6e,2,2,0.99,0.01,0.99
a87f05ad-917a-443f-93f1-a810d84e7305,0,0,0.97,0.97,0.03
593d504b-42eb-4aec-878a-38260a196330,2,2,1.0,0.0,1.0
ea9321fc-0141-4e5d-a630-14a55fb336d7,2,2,1.0,0.0,1.0
d13c0839-2650-4b96-adb0-04bb3f098bee,2,2,0.97,0.03,0.97
58e40fbe-c7a8-41fb-8849-335401fe3055,0,0,0.93,0.93,0.07
b7a17375-e9a6-4660-84dd-3196664cd8e4,2,2,1.0,0.0,1.0
4356c900-f1a7-40b4-ba53-b01f0dad2623,0,0,0.98,0.98,0.02
779b96f9-cb3c-40e8-8387-3bb466066817,2,2,1.0,0.0,1.0
75b2696b-c340-4d23-a163-2337b2dbe15c,2,2,0.94,0.06,0.94
97010a9c-22ea-4295-91c0-5edf482020f3,0,0,0.99,0.99,0.01
98beef06-58e1-4104-a03c-fa8c08e8b3a7,0,0,0.99,0.99,0.01
eacac132-9bcd-49bc-a0b9-38741b163e7c,2,2,1.0,0.0,1.0
8f36ac4c-7972-433c-806a-6553284a6660,2,2,1.0,0.0,1.0
d0379707-c591-471f-b230-f7f2cb667592,2,2,1.0,0.0,1.0
1c32c969-fefd-44d4-bcf3-d41cf2a7d1d3,2,2,1.0,0.0,1.0
69dfc68e-02ab-49b9-995d-cd6ab1cb6eff,2,2,0.98,0.02,0.98
cf7f61ee-c60a-4a6d-9437-8788e9c29467,2,2,0.95,0.05,0.95
c8b25f0b-093b-4727-9b77-7b630116d6ab,0,0,0.99,0.99,0.01
0ac6563d-b704-454b-b28a-fa70fdef5b06,2,2,1.0,0.0,1.0
f03f11c9-063d-4572-a37f-ade1a3ca2dd9,2,2,0.99,0.01,0.99
318e8191-625f-4a5b-8269-3c33ee5e8cb7,2,2,1.0,0.0,1.0
795972ce-104d-46de-a233-9eba00160dc5,2,2,1.0,0.0,1.0
284be7e2-54af-43c3-b1db-b8c3e25b4cec,0,0,0.98,0.98,0.02
a1a7b2a2-4d7b-45e3-aacd-d5e11a927d0a,2,2,0.97,0.03,0.97
3f6e80ac-8516-4031-81bd-363abefdeb9d,2,2,1.0,0.0,1.0
e3da2af8-5449-4ba9-8ccb-72581698c5c3,2,2,1.0,0.0,1.0
c4e9c31e-7379-4eb4-97ff-c964e2a28766,2,2,0.99,0.01,0.99
c676272b-3237-4c78-b574-099c4cd2c45f,2,2,0.99,0.01,0.99
56255312-02d8-4788-ad70-deb9cc2e03ee,0,0,0.99,0.99,0.01
0c4f4ffb-c0dd-40ba-89b9-02502b77791d,2,2,0.99,0.01,0.99
8afcd1d6-5631-42f6-bdc8-ecd8d4c73538,0,0,0.97,0.97,0.03
06b3d315-06be-408f-9fdc-dd4a6dfe074c,2,2,1.0,0.0,1.0
6bc68cde-c9d2-4931-a3a2-1cfe4bcf6e54,2,2,1.0,0.0,1.0
25416901-33bd-477d-b036-44348c15adf4,0,0,0.87,0.87,0.13
10814f0e-6cbf-4462-bfef-91218705fb16,2,2,1.0,0.0,1.0
3aca6321-c358-453e-85ee-a3fc6bd723df,2,2,0.96,0.04,0.96
11c1e008-cd62-4df5-8095-7bbc54f67ee4,2,2,1.0,0.0,1.0
472d5bbc-59a4-4745-bf56-240f7cb2e1f2,2,2,1.0,0.0,1.0
909af56e-8b32-42cd-adef-b826a682ff5c,2,2,0.99,0.01,0.99
d601ca87-5102-4994-ac23-53dd9abcf810,2,2,0.99,0.01,0.99
fde6d7cb-0b76-4406-aef8-f5504798480b,2,2,0.98,0.02,0.98
f10719ed-413e-4315-bd03-b1d76f1b1ee7,2,2,1.0,0.0,1.0
730a3594-63dc-4ef0-854e-eb6bcc5ec023,2,2,1.0,0.0,1.0
8c4e60cd-94a8-425e-85b3-7b69aee94eb5,2,2,1.0,0.0,1.0
e82bd097-45de-4181-9794-000919929600,2,2,0.98,0.02,0.98
316a987e-4bab-4792-99ff-36e67873fe99,2,2,0.98,0.02,0.98
9c597d1d-8954-41a2-aceb-01597670d8fc,2,2,1.0,0.0,1.0
5df7173b-988d-42fb-b0ff-b5d0751c5597,2,2,1.0,0.0,1.0
59f2723f-b2d1-46f4-a865-a86f020b258e,2,2,1.0,0.0,1.0
a14b032c-1881-4256-8a47-cd2c4c9fdb49,0,0,0.98,0.98,0.02
33c71f6d-15af-428f-8192-4ff3c751aae5,2,2,0.99,0.01,0.99
c5f06aa0-dd7c-4286-bcba-27986462a484,2,2,0.98,0.02,0.98
578f5e59-cb24-4a28-b42a-8cf4a189ca83,2,2,1.0,0.0,1.0
e5af9422-1956-4a9c-8937-4eb3593a333a,2,2,1.0,0.0,1.0
bd60f1c5-3e4f-4759-ac6b-4a6ac808f77d,2,2,1.0,0.0,1.0
1118b884-6a23-4d19-ab54-c652c8898b2c,2,2,0.99,0.01,0.99
d3ac07aa-3239-4983-a664-8727ef1d0bd8,2,2,1.0,0.0,1.0
1e07226c-d7b4-437e-9e17-391b16a85e58,2,2,0.94,0.06,0.94
090ff6bc-7c51-4f6c-a8ed-9dcc29419f4d,2,2,1.0,0.0,1.0
0f130bdb-46bd-4bc3-a33b-74f9a1896972,2,2,0.99,0.01,0.99
f3c89fdb-b9bd-477e-9efe-3806fef44164,0,0,1.0,1.0,0.0
776d76fd-e144-4109-bbad-824f2f1a19cd,2,2,0.99,0.01,0.99
85830939-f90b-43d7-a058-3c938a4184cc,2,2,1.0,0.0,1.0
ba4e792e-4a52-4dbc-95e5-fc9dfbcd5e52,2,2,0.99,0.01,0.99
1978a0ac-13f4-448a-8257-e97e454c2772,2,2,0.98,0.02,0.98
884c9051-8e69-42dd-be26-3b8032e616e6,2,2,1.0,0.0,1.0
c981329e-0257-45c0-bf9a-c88b474d8406,0,0,0.98,0.98,0.02
7159f588-9d77-4a95-a3f8-1569398d5dce,2,2,1.0,0.0,1.0
f8c97579-6d42-4887-a23d-c773ec976043,2,2,1.0,0.0,1.0
b9f264e4-93d5-4820-91d1-284d72124ca7,2,2,0.99,0.01,0.99
a0bf8c5e-f916-4282-a73a-d2c8b710331c,2,2,1.0,0.0,1.0
e451e1e1-fcec-42bf-8a3e-0b8dd92d05fe,2,2,1.0,0.0,1.0
17c60588-8e28-467e-8751-08b82a414fcd,2,2,1.0,0.0,1.0
972d0b24-7272-4eba-acde-46422deb78af,2,2,1.0,0.0,1.0
8842c65a-5fed-4d4e-acd3-871263af6767,2,2,1.0,0.0,1.0
621e34c0-6cbd-4839-84a6-2613d3692fd0,2,2,1.0,0.0,1.0
74d3c6a1-a8d3-42c4-aaa4-8d4ba62ca384,2,2,1.0,0.0,1.0
bc419186-9556-463a-bea3-b6237db08a3c,2,2,1.0,0.0,1.0
a2689ff3-4e8d-49af-b35d-ba0995db1f6f,2,2,1.0,0.0,1.0
40452b71-4c4b-4a03-82cb-42cc02999ddc,2,2,1.0,0.0,1.0
2351f765-adf0-40c4-b88f-efa25c87739f,2,2,0.99,0.01,0.99
5085da2d-8fd8-4385-a349-585ac1514822,2,2,0.99,0.01,0.99
a73c9e31-1842-40dd-b9e8-ea206975aae0,2,2,0.99,0.01,0.99
f8fe7079-59c9-44a0-a312-12b7347e7963,2,2,0.96,0.04,0.96
c880a4a5-c433-488c-bfaa-d8ac89cab560,2,2,0.94,0.06,0.94
4df12ec5-999e-4ef7-8d46-b390cdee45ad,2,2,1.0,0.0,1.0
95df81f7-df1c-4b7a-8a15-cc5d266407f8,2,2,1.0,0.0,1.0
8955ecd2-9bf4-4dca-af43-ce6d9097227e,2,2,0.99,0.01,0.99
fb688643-777e-424c-b7d1-c59f83d07982,2,2,1.0,0.0,1.0
56a7f87d-edb3-4a6a-810e-ccecf279c2a2,2,2,1.0,0.0,1.0
5da274f0-3e7c-48be-9e25-e1ae02833573,2,2,1.0,0.0,1.0
3bfb1ea6-2af7-4e91-8275-7731d77c4998,2,2,0.99,0.01,0.99
cf633325-73b9-47c7-9b44-99823e42d837,2,2,1.0,0.0,1.0
ea5489cd-1487-4142-9e20-525515c0859c,2,2,1.0,0.0,1.0
682c4415-0c91-46fb-9039-6867e78a712b,2,2,1.0,0.0,1.0
2bcb1cd1-30d6-482a-bede-1337fe05f8a1,2,2,0.99,0.01,0.99
df0f5041-4710-4fd5-8203-a7a5e92315af,2,2,1.0,0.0,1.0
6c1c82e7-9ec5-463f-8161-8a0b1f9e19a7,2,2,0.99,0.01,0.99
96f88aaf-ff78-46ae-9c86-d2ffa4c85bb1,2,2,0.96,0.04,0.96
ed4e712f-764d-4a54-87a4-2f8072de453d,2,2,1.0,0.0,1.0
43c6ab1c-d5ba-427d-bb00-05f8dabf41da,2,2,1.0,0.0,1.0
fb00e4f5-0134-4721-aaa5-437e43246ea6,2,2,0.93,0.07,0.93
74424283-29dd-4662-85ce-fd2ff8feb404,2,2,1.0,0.0,1.0
a2c997ef-301e-40ab-98ca-369eda1471db,0,0,0.98,0.98,0.02
249f331e-8a70-455f-a5f2-0c7da63a84de,0,0,0.96,0.96,0.04
6a04ce5e-4c83-4779-ae4a-d62cbae21104,0,0,0.97,0.97,0.03
220e10d6-41ca-4b44-b915-04fc9afb5b7f,2,2,0.98,0.02,0.98
edff5930-2f50-411e-b522-74cee5390e56,2,2,1.0,0.0,1.0
81aea691-411e-47a3-bd72-110e47136e5b,2,2,1.0,0.0,1.0
4f0f9587-a4db-4135-b3e3-062061ad3844,2,2,1.0,0.0,1.0
540d05f8-773c-44d0-abe5-9244740071ef,2,2,1.0,0.0,1.0
1efe9d2e-2cd8-44bb-a14d-5057fda0cea9,2,2,0.97,0.03,0.97
08254248-b259-4e79-b2d1-2409d22a03d4,2,2,1.0,0.0,1.0
b5bda634-9a32-49bc-90ba-86960a953cb5,2,2,0.99,0.01,0.99
bee055b6-566b-440c-92f8-dcbfe3278526,2,2,1.0,0.0,1.0
9950ff44-b58d-4550-94ba-abc75742a6de,2,2,1.0,0.0,1.0
79fbdc57-3e30-4e9f-88ad-1296a7ef3fdc,2,2,1.0,0.0,1.0
4641c269-ca37-4129-868b-d4d63aaee835,2,2,1.0,0.0,1.0
8536bab5-ec12-49ee-b713-9c12535f3ce1,2,2,1.0,0.0,1.0
5efe5991-8ba0-465d-8395-b1480cb756ff,0,0,0.98,0.98,0.02
7eef354c-c335-4862-b536-168b2017f59a,2,2,0.99,0.01,0.99
3042834a-daea-4234-bea5-25c6681df8b1,2,2,1.0,0.0,1.0
6b9f5e6a-8c89-47d3-afba-6611c6c4af77,2,2,0.99,0.01,0.99
787bfba8-53e6-41ca-8918-3f10f18e9f1f,2,2,1.0,0.0,1.0
a61b84d4-a3e9-471f-897f-94930a3562a6,0,0,0.98,0.98,0.02
1129fc98-49ca-4f96-85cf-c58b81c991a4,2,2,1.0,0.0,1.0
225fff0f-1713-4f3b-810c-1244d8c55c04,2,2,1.0,0.0,1.0
988afaa4-edf9-43f0-a33f-9b697b1c2a4f,0,0,0.99,0.99,0.01
fd5ade71-94dd-4342-b13c-f5bafc82c1b4,2,2,0.99,0.01,0.99
e6113136-0be3-4e38-9758-43371cf79155,2,2,0.99,0.01,0.99
32d78bf6-b09c-4713-bd2c-b76718c4c328,2,2,0.98,0.02,0.98
42e0eefc-5b0e-4724-8153-8715c6eb75db,2,2,1.0,0.0,1.0
b87990d5-a8a4-406a-9797-193d81c53527,0,0,0.99,0.99,0.01
c897e5ac-ac77-4e2b-b129-b131d634e940,0,0,0.97,0.97,0.03
2a2bf32d-b758-48f4-bbd6-ce76fa2543a1,2,2,1.0,0.0,1.0
4e83dac5-a6f7-49ed-bf45-e3ed5e5e33ff,2,2,1.0,0.0,1.0
6712f506-a090-4f32-a284-d3cd5769d6de,0,0,0.99,0.99,0.01
ec9876e6-01a1-431f-bbdc-432c4774e2b5,2,2,1.0,0.0,1.0
1e65846b-f898-41ec-a5d9-a6a7210103c0,2,2,1.0,0.0,1.0
5a4c4a41-2111-4735-89c9-159fca2e401a,2,2,0.98,0.02,0.98
542bdbe1-5802-4061-833f-2c1647cfdc7b,0,0,0.94,0.94,0.06
c667b2b9-fb40-463d-b874-5fdaf9f98776,2,2,1.0,0.0,1.0
04e7eae0-89c3-462d-a63f-ec1dcb2408d4,2,2,1.0,0.0,1.0
efe79d24-09fc-4fef-8c12-eb8631a3d2ac,2,2,1.0,0.0,1.0
24afa4bb-c713-4534-a66b-75dc5a4146b5,0,0,0.99,0.99,0.01
6a8c5501-2754-432f-8749-e70e1c5986aa,2,2,1.0,0.0,1.0
dbcd31bf-b008-40d8-806b-66f65ae902ec,2,2,1.0,0.0,1.0
36cfe207-5d94-408c-80b8-cd684f48fe1c,2,2,1.0,0.0,1.0
8c1db0d3-828b-41b4-b72f-fc2235ea8362,2,2,0.99,0.01,0.99
2d220d85-9dc9-482f-b692-901e9091717b,2,2,1.0,0.0,1.0
fe4c1cec-09ba-450d-ae9f-129b70df8c36,2,2,1.0,0.0,1.0
b5ce5cd0-fc26-49ac-930a-3426729bd9dc,2,2,1.0,0.0,1.0
e2bc9e81-d91f-4d6e-92a3-3ed93122e60f,2,2,1.0,0.0,1.0
c764ba41-1ac8-40db-9f40-5803daa17e54,2,2,0.98,0.02,0.98
ad089a91-5637-421e-bf6e-9ca0c7d4e34c,2,2,0.94,0.06,0.94
dfbb4bf9-6043-40bf-ad9c-20321c4ddbd1,2,2,1.0,0.0,1.0
667b0ba1-fdb1-4f47-b850-a0c23f192422,2,2,0.99,0.01,0.99
f426bd3c-e1fc-4560-8579-035d8bf4a53c,0,0,0.99,0.99,0.01
c971cf49-ab2a-4fdc-a849-54db24a93195,2,2,1.0,0.0,1.0
3f5bdf1e-1d52-4d45-b5b9-d0d1d740dd74,2,2,1.0,0.0,1.0
48396758-4c8f-4591-b672-5a829a29d63a,2,2,1.0,0.0,1.0
81800a21-c46a-475c-a3ac-2e775f01ebd5,2,2,0.98,0.02,0.98
e540ce08-c2fa-45a9-a25e-24c1a4feb0fa,2,2,1.0,0.0,1.0
ffaa5956-079c-45c9-b7ea-bd95ae98d228,2,2,0.99,0.01,0.99
1c052a51-448f-4859-a739-7066ac41b8e8,2,2,0.99,0.01,0.99
9995b0f9-569c-4496-8cf5-a702e1cd6b48,2,2,0.99,0.01,0.99
a20e4eb6-351d-45f8-9af5-85b01bea4b71,0,0,0.93,0.93,0.07
0a2efd6b-5a50-4eba-96fc-cee49fec566d,0,0,0.95,0.95,0.05
1d6a70f6-e8c1-43c3-b34c-9babb9751771,0,0,0.99,0.99,0.01
de6343f9-fa09-4cac-8da8-7c2706825e22,0,0,0.94,0.94,0.06
4aebf6b6-ae81-47db-994f-f8cbd486adb7,0,0,1.0,1.0,0.0
47bfda64-1b32-45fe-b19d-f8479d4a71a3,2,2,0.99,0.01,0.99
62eff7d1-e527-48d2-aead-eba174840e57,2,2,0.99,0.01,0.99
a0b4204e-0d62-431e-8e28-664b98230c16,0,0,0.99,0.99,0.01
8e03799d-3b2a-4b70-9df4-21326eb73c86,2,2,0.98,0.02,0.98
66f1ef9c-e50c-4724-b433-28e5b3c8f22e,0,0,0.93,0.93,0.07
a00dd300-5153-4561-8195-25381f93aff1,2,2,1.0,0.0,1.0
fe0c4659-20aa-4a5f-ab04-17978ede5386,2,2,1.0,0.0,1.0
42d07934-5c90-4fb9-a5b0-dddaa66cb688,2,2,0.99,0.01,0.99
ac28846b-e2b2-4904-a963-e65f546f626c,2,2,1.0,0.0,1.0
c336d5c6-78be-4ea0-9916-9c3428c4f865,2,2,1.0,0.0,1.0
c89be8e6-186b-4748-a943-36a24af9c0f1,2,2,1.0,0.0,1.0
79586152-95f4-43a2-b6bc-d623bfeba3f0,2,2,0.99,0.01,0.99
2663b089-896f-44c6-9407-0bf875d2d6ca,2,2,0.99,0.01,0.99
671c9cab-fa55-4b69-8670-f85625c5894f,2,2,0.99,0.01,0.99
0706a500-425b-42b8-b6b1-5bf61c459106,2,2,1.0,0.0,1.0
